Date,Open,High,Low,Close,Adj Close,Volume
11/1/2006,138.220001,138.309998,136.720001,136.860001,107.50779,83005600
11/2/2006,136.509995,137.009995,136.360001,136.779999,107.444954,60693100
11/3/2006,137.270004,137.389999,135.619995,136.539993,107.256401,71346400
11/6/2006,136.960007,138.279999,136.949997,138.080002,108.46611,63303300
11/7/2006,138.199997,138.979996,138,138.610001,108.882462,63318900
11/8/2006,138,139.050003,136.860001,138.910004,109.118126,87517800
11/9/2006,139.009995,139.139999,137.899994,138.179993,108.544662,95916300
11/10/2006,138.139999,138.339996,137.720001,138.240005,108.591782,48991500
11/13/2006,138.179993,139.039993,138.070007,138.580002,108.858864,59398200
11/14/2006,138.970001,139.740005,138.119995,139.619995,109.675827,96704000
11/15/2006,139.570007,140.449997,139.529999,140.020004,109.990067,76509600
11/16/2006,140.440002,140.679993,139.490005,140.380005,110.272835,76728800
11/17/2006,139.929993,140.429993,139.729996,140.419998,110.304283,56353800
11/20/2006,140.300003,140.740005,139.940002,140.5,110.367111,69174200
11/21/2006,140.490005,140.669998,140.289993,140.639999,110.477089,51367900
11/22/2006,140.75,141.160004,140.5,140.919998,110.697029,45505300
11/24/2006,140.240005,140.839996,140.199997,140.350006,110.24929,30998000
11/27/2006,140.279999,140.350006,138.380005,138.419998,108.733177,84545100
11/28/2006,138.240005,139.160004,138.110001,139.020004,109.204529,106652900
11/29/2006,139.470001,140.529999,139.080002,140.470001,110.343521,90034900
11/30/2006,140.440002,141.050003,139.759995,140.529999,110.390648,83994300
12/1/2006,140.529999,140.660004,138.970001,140.220001,110.147148,126080000
12/4/2006,140.25,141.550003,140.229996,141.289993,110.987686,87813200
12/5/2006,141.559998,141.960007,141.259995,141.899994,111.46685,73374400
12/6/2006,141.869995,142.070007,141.5,141.779999,111.372589,53253200
12/7/2006,142.029999,142.300003,141.110001,141.160004,110.885544,62857400
12/8/2006,141.130005,141.899994,140.779999,141.419998,111.089752,79625500
12/11/2006,141.419998,142.089996,141.339996,141.830002,111.411896,39779400
12/12/2006,141.690002,141.869995,140.889999,141.720001,111.325439,77451600
12/13/2006,142.229996,142.339996,141.559998,141.869995,111.443268,55520200
12/14/2006,141.860001,143.240005,141.839996,143.119995,112.425209,64755200
12/15/2006,142.639999,142.889999,142.240005,142.339996,112.435463,70857400
12/18/2006,142.539993,142.880005,141.75,141.949997,112.127396,48954600
12/19/2006,141.550003,142.559998,141.190002,142.220001,112.340652,65023600
12/20/2006,142.279999,142.660004,142.009995,142.139999,112.277451,41469600
12/21/2006,142.270004,142.429993,141.320007,141.619995,111.866714,48698400
12/22/2006,141.639999,141.649994,140.669998,140.75,111.179504,62069100
12/26/2006,140.809998,141.610001,140.779999,141.580002,111.835129,32696900
12/27/2006,141.869995,142.600006,141.830002,142.509995,112.56974,39727100
12/28/2006,142.410004,142.699997,141.990005,142.210007,112.332771,37288800
12/29/2006,142.059998,142.539993,141.429993,141.619995,111.866714,45461200
1/3/2007,142.25,142.860001,140.570007,141.369995,111.66925,94807600
1/4/2007,141.229996,142.050003,140.610001,141.669998,111.906235,69620600
1/5/2007,141.330002,141.399994,140.380005,140.539993,111.013618,76645300
1/8/2007,140.820007,141.410004,140.25,141.190002,111.527069,71655000
1/9/2007,141.309998,141.600006,140.399994,141.070007,111.432251,75680100
1/10/2007,140.580002,141.570007,140.300003,141.539993,111.803513,72428000
1/11/2007,141.580002,142.619995,141.5,142.160004,112.293304,54476800
1/12/2007,142.149994,143.240005,142.110001,143.240005,113.146355,55370600
1/16/2007,143.070007,143.440002,142.729996,142.960007,112.925224,44871300
1/17/2007,142.850006,143.460007,142.729996,143.020004,112.972649,50241400
1/18/2007,143.169998,143.259995,142.309998,142.539993,112.593437,68177300
1/19/2007,142.539993,143.100006,142.460007,142.820007,112.814606,56973000
1/22/2007,143.070007,143.100006,141.929993,142.380005,112.467033,60253600
1/23/2007,142.259995,143.080002,142.059998,142.800003,112.798866,54064400
1/24/2007,142.970001,143.979996,142.910004,143.949997,113.707237,55834700
1/25/2007,143.860001,143.919998,142.009995,142.259995,112.372238,73583800
1/26/2007,142.570007,142.649994,141.580002,142.130005,112.269577,67255600
1/29/2007,142.190002,142.800003,141.740005,142.050003,112.206383,66114600
1/30/2007,142.350006,142.860001,142.059998,142.789993,112.790886,70407600
1/31/2007,142.630005,144.130005,142.399994,143.75,113.549232,91868600
2/1/2007,144.149994,144.660004,143.910004,144.610001,114.228561,69312400
2/2/2007,144.729996,144.949997,144.380005,144.809998,114.386543,49607000
2/5/2007,144.699997,144.940002,144.339996,144.850006,114.418137,45705300
2/6/2007,144.970001,145.029999,144.330002,144.889999,114.449776,57081300
2/7/2007,145.119995,145.360001,144.570007,145.210007,114.702492,55669700
2/8/2007,144.779999,145.119995,144.270004,145.020004,114.552414,70641000
2/9/2007,145.059998,145.330002,143.389999,143.940002,113.699303,79084400
2/12/2007,143.940002,144.039993,143.190002,143.449997,113.312248,65657000
2/13/2007,143.770004,144.899994,143.759995,144.660004,114.268051,64081800
2/14/2007,144.800003,145.899994,144.779999,145.610001,115.01844,66039400
